Pclass,Sex,SibSp,Parch,Fare,Age_wiki,Boarded,Marriage_status,Rank,Nobility,Youth,Survived
3,male,1,0,7.25,22.0,2.0,No,No,No,No,No
1,female,1,0,71.2833,35.0,3.0,Yes,No,No,No,Yes
3,female,0,0,7.925,26.0,2.0,No,No,No,No,Yes
1,female,1,0,53.1,35.0,2.0,Yes,No,No,No,Yes
3,male,0,0,8.05,35.0,2.0,No,No,No,No,No
3,male,0,0,8.4583,22.0,1.0,No,No,No,No,No
1,male,0,0,51.8625,54.0,2.0,No,No,No,No,No
3,male,3,1,21.075,2.0,2.0,No,No,No,Yes,No
3,female,0,2,11.1333,26.0,2.0,Yes,No,No,No,Yes
2,female,1,0,30.0708,14.0,3.0,Yes,No,No,Yes,Yes
3,female,1,1,16.7,4.0,2.0,No,No,No,Yes,Yes
1,female,0,0,26.55,61.0,2.0,No,No,No,No,Yes
3,male,0,0,8.05,19.0,2.0,No,No,No,No,No
3,male,1,5,31.275,39.0,2.0,No,No,No,No,No
3,female,0,0,7.8542,14.0,2.0,No,No,No,Yes,No
2,female,0,0,16.0,56.0,2.0,Yes,No,No,No,Yes
3,male,4,1,29.125,2.0,1.0,No,No,No,Yes,No
2,male,0,0,13.0,23.0,2.0,No,No,No,No,Yes
3,female,1,0,18.0,31.0,2.0,Yes,No,No,No,No
3,female,0,0,7.225,22.0,3.0,Yes,No,No,No,Yes
2,male,0,0,26.0,35.0,2.0,No,No,No,No,No
2,male,0,0,13.0,34.0,2.0,No,No,No,No,Yes
3,female,0,0,8.0292,16.0,1.0,No,No,No,Yes,Yes
1,male,0,0,35.5,28.0,2.0,No,No,No,No,Yes
3,female,3,1,21.075,8.0,2.0,No,No,No,Yes,No
3,female,1,5,31.3875,38.0,2.0,Yes,No,No,No,Yes
3,male,0,0,7.225,25.0,3.0,No,No,No,No,No
1,male,3,2,263.0,19.0,2.0,No,No,No,No,No
3,female,0,0,7.8792,25.0,1.0,No,No,No,No,Yes
3,male,0,0,7.8958,23.0,2.0,No,No,No,No,No
1,male,0,0,27.7208,40.0,3.0,No,No,Yes,No,No
1,female,1,0,146.5208,45.0,3.0,Yes,No,No,No,Yes
3,female,0,0,7.75,19.0,1.0,No,No,No,No,Yes
2,male,0,0,10.5,66.0,2.0,No,No,Yes,No,No
1,male,1,0,82.1708,28.0,3.0,No,No,No,No,No
1,male,1,0,52.0,42.0,2.0,No,No,No,No,No
3,male,0,0,7.2292,20.0,3.0,No,No,No,No,Yes
3,male,0,0,8.05,21.0,2.0,No,No,No,No,No
3,female,2,0,18.0,18.0,2.0,No,No,No,No,No
3,female,1,0,11.2417,14.0,3.0,No,No,No,Yes,Yes
3,female,1,0,9.475,40.0,2.0,Yes,No,No,No,No
2,female,1,0,21.0,27.0,2.0,Yes,No,No,No,No
3,male,0,0,7.8958,28.0,3.0,No,No,No,No,No
2,female,1,2,41.5792,3.0,3.0,No,Yes,No,Yes,Yes
3,female,0,0,7.8792,19.0,1.0,No,No,No,No,Yes
3,male,0,0,8.05,29.0,2.0,No,No,No,No,No
3,male,1,0,15.5,20.0,1.0,No,No,No,No,No
3,female,0,0,7.75,24.0,1.0,No,Yes,No,No,Yes
3,male,2,0,21.6792,16.0,3.0,No,No,No,Yes,No
3,female,1,0,17.8,18.0,2.0,Yes,No,No,No,No
3,male,4,1,39.6875,7.0,2.0,No,No,No,Yes,No
3,male,0,0,7.8,21.0,2.0,No,No,No,No,No
1,female,1,0,76.7292,49.0,3.0,Yes,No,No,No,Yes
2,female,1,0,26.0,29.0,2.0,Yes,No,No,No,Yes
1,male,0,1,61.9792,64.0,2.0,No,No,No,No,No
1,male,0,0,35.5,45.0,2.0,No,No,No,No,Yes
2,female,0,0,10.5,21.0,2.0,No,No,No,No,Yes
3,male,0,0,7.2292,20.0,3.0,No,No,No,No,No
2,female,1,2,27.75,4.0,2.0,No,No,No,Yes,Yes
3,male,5,2,46.9,13.0,2.0,No,No,No,Yes,No
3,male,0,0,7.2292,22.0,3.0,No,No,Yes,No,No
1,female,0,0,80.0,38.0,2.0,No,No,No,No,Yes
1,male,1,0,83.475,45.0,2.0,No,No,No,No,No
3,male,3,2,27.9,5.0,2.0,No,No,No,Yes,No
1,male,0,0,27.7208,54.0,3.0,No,No,No,No,No
3,male,1,1,15.2458,7.0,3.0,No,No,No,Yes,Yes
2,female,0,0,10.5,29.0,2.0,Yes,No,No,No,Yes
3,male,0,0,8.1583,19.0,2.0,No,No,No,No,No
3,female,4,2,7.925,17.0,2.0,No,Yes,No,Yes,Yes
3,male,2,0,8.6625,26.0,2.0,No,No,No,No,No
2,male,0,0,10.5,32.0,2.0,No,No,No,No,No
3,female,5,2,46.9,16.0,2.0,No,No,No,Yes,No
2,male,0,0,73.5,21.0,2.0,No,No,No,No,No
3,male,1,0,14.4542,26.0,3.0,No,No,No,No,No
3,male,0,0,56.4958,32.0,2.0,No,No,No,No,Yes
3,male,0,0,7.65,25.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,23.0,2.0,No,No,No,No,No
3,male,0,0,8.05,28.0,2.0,No,No,No,No,No
2,male,0,2,29.0,0.83,2.0,No,No,No,Yes,Yes
3,female,0,0,12.475,31.0,2.0,No,No,No,No,Yes
3,male,0,0,9.0,22.0,2.0,No,No,No,No,No
